type,amount,oldbalanceOrg,newbalanceOrig,isFraud
0,0.0024317946433464496,0.01839812347516582,0.02365236876381714,No Fraud
3,0.0004008089342116474,0.005692399768361524,0.006585953294848553,No Fraud
4,0.0007267358363333487,0.0003839386506737715,0.0,Fraud
4,0.0058050986414573975,0.0030668664293127842,0.0,Fraud
1,0.15052146415785664,0.07952134043338906,0.0,Fraud
1,0.31767095175650156,0.16782735965107815,0.0,Fraud
4,0.013307129431640061,0.004891227700614882,0.0,No Fraud
1,0.0024327949891735307,0.0012852593457091585,0.0,Fraud
1,0.0007970897866769576,1.7151956156340185e-05,0.0,No Fraud
3,0.0005336948230537648,0.002358595364328357,0.0024954453818467268,No Fraud
4,0.0845873431480258,0.04468797156912961,0.0,Fraud
4,0.005058139872335231,6.293525986915431e-06,0.0,No Fraud
3,0.0007077664331201609,0.003338354707235386,0.0035622869051220663,No Fraud
1,0.021522310224562302,0.011370358160252432,0.0,Fraud
1,0.08424614897996269,0.044507716761323736,0.0,Fraud
3,6.091022828979162e-06,0.0,0.0,No Fraud
1,0.010714651102818041,0.005660610749033214,0.0,Fraud
0,0.011369781047586909,0.0005118566641998233,0.007833201850834755,No Fraud
3,0.00026681119703838213,0.00550613372018766,0.006447190878832393,No Fraud
3,0.00022409874921996175,0.0007171043224049427,0.0007194561047808219,No Fraud
0,0.0004134408019372929,4.281275944699004e-05,0.00031392028490547744,No Fraud
3,0.0004266949870574294,0.004200448442190088,0.0047766807938972745,No Fraud
1,0.0028192861759185612,0.0014894448245550466,0.0,Fraud
3,1.6562410411728723e-05,0.0,0.0,No Fraud
3,0.0003257448766663448,0.006402715977550659,0.007487176318295695,No Fraud
1,0.1555108374815942,0.08215725456594165,0.0,Fraud
1,0.11566347604856181,0.06110566825818868,0.0,Fraud
1,0.03223776154050782,0.01703139166640461,0.0,Fraud
1,0.12350580104500126,0.06524881288756271,0.0,Fraud
4,0.004315410574264748,0.0022798558020008606,0.0,Fraud
4,0.00806227528070043,0.004259345607958678,0.0,Fraud
1,0.11349546805712209,0.059960297380260055,0.0,Fraud
4,0.08818975524859496,0.04659114624679746,0.0,Fraud
1,0.008444344805467961,0.0,0.0,No Fraud
1,0.12465732743103627,0.06585717078704398,0.0,Fraud
3,0.00012420425940156402,0.002229130486028401,0.0025998363425351794,No Fraud
3,0.00015610350569314488,0.000386147594381499,0.00036492115091525944,No Fraud
1,0.011991295687582806,0.0006541071342400771,0.0,No Fraud
1,0.004794579719817124,0.0025330035704060733,0.0,Fraud
3,2.170042038543838e-05,0.002113622634439108,0.0025261082589696396,No Fraud
3,0.00028790772494453144,0.004071278436561039,0.0047095698270579025,No Fraud
1,0.01342795970786302,0.0005064358404830935,0.0,No Fraud
1,0.008594425587586755,3.655279893200482e-05,0.0,No Fraud
1,0.0011564572745481623,0.0,0.0,No Fraud
4,0.02012316632039405,0.010631182526125054,0.0,Fraud
3,0.001378042293526875,2.0575634293222182e-05,0.0,No Fraud
0,0.011460458632411043,0.07826956700944164,0.10133016636686869,No Fraud
4,0.051914708817149484,0.0274268341491769,0.0,Fraud
4,0.0017437905201350607,0.000921254389677944,0.0,Fraud
1,0.0012037073342414726,0.0008727190529215715,0.00028454872467012173,No Fraud
4,0.07089083013562497,0.03745202631638328,0.0,Fraud
4,0.0034236507142419805,0.0018087340267081875,0.0,Fraud
4,0.0053287373894475975,0.0028152020869395278,0.0,Fraud
4,0.027146598184382743,0.014341701284308454,0.0,Fraud
1,0.014491839725295544,5.310057659360113e-05,0.0,No Fraud
3,9.833917283859791e-05,0.0,0.0,No Fraud
1,0.0027706977685055005,0.0014637752942416947,0.0,Fraud
0,0.010414869473038754,0.0020017104840303395,0.009017293455114716,No Fraud
1,0.018884618106847734,0.009976850503223047,0.0,Fraud
0,0.002631620155142697,0.1379708784109363,0.16746666651952552,No Fraud
1,0.007593191234853468,0.00044976054112892433,0.0,No Fraud
1,0.00038664716318234253,0.0,0.0,No Fraud
4,0.011216799294336676,0.005925898477326148,0.0,Fraud
4,0.04440053473716498,0.02345705350404884,0.0,Fraud
1,0.001987360910342937,0.0,0.0,No Fraud
4,0.028164326012931225,0.014879372649487728,0.0,Fraud
4,0.11267822141321426,0.05952854135827449,0.0,Fraud
1,0.030850094452484628,0.016298279299126705,0.0,Fraud
3,0.0007355442164836529,0.008258398365502358,0.009456939361164828,No Fraud
1,0.0006469051261569398,0.00034176363519345553,0.0,Fraud
4,0.010702905219376843,0.005654405332410115,0.0,Fraud
1,0.015043543632275336,0.007278303367876027,0.0,No Fraud
4,0.00433084144074632,0.0022880080159959114,0.0,Fraud
1,0.0026691281997584903,0.0001910882316987176,0.0,No Fraud
0,0.0009766021471340873,0.0653298983407234,0.07912521943561343,No Fraud
3,0.00023916048205559277,0.0006782910567657975,0.0006632532666021101,No Fraud
1,0.004495507766944062,0.0010310138185444684,0.0,No Fraud
1,0.08642707728435227,0.0456599135136241,0.0,Fraud
1,0.05008182716092336,0.02645851240865745,0.0,Fraud
3,0.0007431200333411419,0.00013963236322969702,0.0,No Fraud
1,0.0002879795185796284,0.0001521412076539305,0.0,Fraud
1,0.007986397350176727,0.00034087415018730483,0.0,No Fraud
4,0.005591242874405872,0.0029538852186230384,0.0,Fraud
1,0.004889830495662745,0.00011747059256041249,0.0,No Fraud
3,0.00012783015564491273,0.0,0.0,No Fraud
1,0.010559066989131019,0.0,0.0,No Fraud
0,0.013124765339049013,0.0009276825132072996,0.009447042424581976,No Fraud
4,0.01185938314253687,0.006265379156946269,0.0,Fraud
1,0.003975765369762394,0.002100419320400639,0.0,Fraud
